           1   0.0870693   0.0870693           0
           2   0.0881564   0.0876128 0.000384342
           3   0.0875605   0.0875954 0.000256623
           4   0.0882356   0.0877554 0.000237183
           5   0.0879388   0.0877921 0.000192559
           6   0.0886118   0.0879287 0.000203234
           7   0.0876584   0.0878901 0.000177832
           8    0.087256   0.0878108 0.000172367
           9   0.0882553   0.0878602 0.000160134
          10   0.0873154   0.0878057 0.000153108
          11   0.0876753   0.0877939 0.000139648
          12   0.0878983   0.0878026 0.000128281
          13   0.0875846   0.0877858 0.000119504
          14   0.0876523   0.0877763 0.000111348
          15   0.0872219   0.0877393 0.000109887
          16   0.0872796   0.0877106 0.000106709
          17    0.088304   0.0877455 0.000105987
          18   0.0882563   0.0877739 0.000103828
          19    0.088106   0.0877914 9.98241e-05
          20   0.0876527   0.0877844 9.50732e-05
