           1     -5.0393     -5.0393           0
           2    -5.04784    -5.04357  0.00302032
           3    -5.03901    -5.04205  0.00236444
           4     -5.0207    -5.03671  0.00495117
           5    -5.03054    -5.03548  0.00411174
           6    -5.07129    -5.04145  0.00643645
           7    -5.05336    -5.04315  0.00573762
           8    -5.02819    -5.04128  0.00531658
           9     -5.0285    -5.03986  0.00491176
          10    -5.04514    -5.04039  0.00444889
          11    -5.02695    -5.03917  0.00420881
          12     -5.0394    -5.03919  0.00385812
          13    -5.03357    -5.03875  0.00358541
          14    -5.03443    -5.03845  0.00334261
          15    -5.04874    -5.03913  0.00318943
          16    -5.02235    -5.03808  0.00315793
          17    -5.02586    -5.03736  0.00305288
          18    -5.03768    -5.03738  0.00288333
          19    -5.02454    -5.03671  0.00280962
          20    -5.03697    -5.03672  0.00266917
