         135    -6.50427      -6.722   0.0146684
         136    -6.59343    -6.72106   0.0145909
         137    -6.68746    -6.72081   0.0144865
         138    -6.73193    -6.72089   0.0143818
         139    -6.72314    -6.72091   0.0142783
         140    -6.75764    -6.72117   0.0141787
         141    -6.79364    -6.72169   0.0140875
         142    -6.79392    -6.72219   0.0139974
         143    -6.71623    -6.72215   0.0138996
         144    -6.76696    -6.72246   0.0138066
         145    -6.73239    -6.72253   0.0137115
         146    -6.74151    -6.72266   0.0136182
         147    -6.72082    -6.72265   0.0135256
         148    -6.71152    -6.72257   0.0134344
         149    -6.65728    -6.72214   0.0133514
         150    -6.55672    -6.72103   0.0133079
         151      -6.483    -6.71946   0.0133128
         152    -6.45248     -6.7177   0.0133405
         153    -6.40961    -6.71569   0.0134045
         154    -6.51943    -6.71441   0.0133779
         155    -6.45893    -6.71276   0.0133927
         156    -6.53131     -6.7116   0.0133573
         157    -6.55055    -6.71058   0.0133115
         158    -6.60348     -6.7099   0.0132445
         159    -6.62968    -6.70939   0.0131708
         160    -6.60605    -6.70875   0.0131043
         161      -6.625    -6.70823   0.0130333
         162    -6.57102    -6.70738   0.0129803
         163    -6.63064    -6.70691   0.0129092
         164    -6.65244    -6.70658   0.0128348
         165    -6.67789     -6.7064   0.0127582
         166    -6.64848    -6.70605   0.0126861
         167    -6.63768    -6.70564   0.0126167
         168    -6.61756    -6.70512   0.0125525
         169    -6.67172    -6.70492   0.0124798
         170    -6.63403    -6.70451   0.0124133
         171    -6.68318    -6.70438   0.0123414
         172    -6.69412    -6.70432   0.0122698
         173    -6.60444    -6.70374   0.0122124
         174    -6.53594    -6.70278   0.0121802
         175     -6.5835     -6.7021   0.0121297
         176    -6.61132    -6.70158   0.0120717
         177    -6.65667    -6.70133   0.0120062
         178    -6.64141    -6.70099   0.0119435
         179     -6.6789    -6.70087   0.0118774
         180    -6.60024    -6.70031   0.0118246
         181    -6.60646    -6.69979   0.0117706
         182    -6.49133    -6.69865   0.0117615
         183    -6.59149    -6.69806   0.0117118
         184     -6.6863      -6.698   0.0116483
         185    -6.61389    -6.69754   0.0115942
         186    -6.62319    -6.69714   0.0115388
         187    -6.62061    -6.69673   0.0114843
         188    -6.65503    -6.69651   0.0114254
         189    -6.65434    -6.69629   0.0113671
         190    -6.70202    -6.69632   0.0113073
         191    -6.60838    -6.69586   0.0112575
         192    -6.77245    -6.69626   0.0112059
         193    -6.72072    -6.69638   0.0111486
         194     -6.6519    -6.69615   0.0110935
         195     -6.6257    -6.69579   0.0110425
         196    -6.58391    -6.69522   0.0110009
         197    -6.56951    -6.69458   0.0109635
         198    -6.55764    -6.69389     0.01093
         199     -6.5537    -6.69319   0.0108977
         200    -6.60971    -6.69277   0.0108512
         201     -6.6454    -6.69253   0.0107998
         202    -6.66212    -6.69238   0.0107474
         203    -6.69123    -6.69238   0.0106944
         204    -6.71453    -6.69249   0.0106426
         205     -6.6666    -6.69236   0.0105914
         206    -6.65777    -6.69219   0.0105413
         207    -6.63574    -6.69192   0.0104939
