           1   -0.240165           0
           2   -0.273717   0.0118625
           3   -0.348757   0.0262107
           4   -0.356522   0.0246872
           5    -0.33625   0.0205359
           6   -0.388306   0.0207583
           7   -0.342793   0.0179665
           8   -0.405062   0.0181992
           9    -0.48794   0.0226618
          10   -0.378892   0.0205398
          11    -0.45638    0.020606
          12   -0.463332    0.020454
          13   -0.370054    0.018882
          14   -0.363321   0.0175458
          15   -0.228644   0.0188075
          16   -0.264604    0.018604
          17   -0.347062    0.017518
          18   -0.382917   0.0166086
          19   -0.335517   0.0157746
          20   -0.353375   0.0149866
          21   -0.424399   0.0146208
          22   -0.404473   0.0140988
          23   -0.388779   0.0135357
          24   -0.364747    0.012972
          25   -0.344539   0.0124736
          26   -0.405781   0.0121068
          27   -0.433011   0.0119274
          28   -0.399088   0.0115589
          29   -0.410763   0.0112564
          30   -0.457141   0.0112586
          31   -0.446634   0.0111507
          32   -0.458178   0.0111061
          33   -0.459999   0.0110513
          34   -0.474154   0.0110719
          35   -0.453844    0.010943
          36   -0.398235    0.010646
          37   -0.362228   0.0103755
          38    -0.44056   0.0102085
          39   -0.378802  0.00994817
          40   -0.390385  0.00970026
          41   -0.398918   0.0094692
          42   -0.360973  0.00926219
          43   -0.402414  0.00905542
          44   -0.407823  0.00886366
          45   -0.371532  0.00867262
          46   -0.458822  0.00862814
          47   -0.418517  0.00846995
          48   -0.403118  0.00829931
          49   -0.336196  0.00819794
          50   -0.359762  0.00805246
          51   -0.415954   0.0079149
          52   -0.405876  0.00777073
          53   -0.401174  0.00762829
          54   -0.433062  0.00753266
          55    -0.40037  0.00739866
          56   -0.350744  0.00729797
          57   -0.354573  0.00719388
          58   -0.335195  0.00712659
          59   -0.386626   0.0070058
          60   -0.432037  0.00692949
          61   -0.409292  0.00682505
          62   -0.389369  0.00671501
          63   -0.383807  0.00660874
          64   -0.360569  0.00651923
          65   -0.351346  0.00644254
          66   -0.383278  0.00634516
          67   -0.406243  0.00625706
          68   -0.421505  0.00618545
          69    -0.43986  0.00614196
          70   -0.437725  0.00609453
          71   -0.389291  0.00600869
          72   -0.370423  0.00593083
          73   -0.396141  0.00585043
          74   -0.364899  0.00578038
          75   -0.373151  0.00570698
          76   -0.359905  0.00564419
          77   -0.421842  0.00558795
          78   -0.411284  0.00552396
          79   -0.349015  0.00547689
          80   -0.393029  0.00540876
          81   -0.373778  0.00534496
          82   -0.338456    0.005314
          83    -0.29906   0.0053558
          84   -0.352022  0.00530771
          85   -0.425356  0.00526537
          86   -0.430301  0.00522871
          87   -0.440501  0.00520461
          88   -0.488474   0.0052701
          89   -0.458739  0.00526917
          90   -0.441023  0.00524155
          91   -0.399643  0.00518499
          92   -0.428985   0.0051457
          93   -0.422525  0.00510176
          94   -0.426799  0.00506168
          95   -0.378125  0.00501032
          96   -0.364774  0.00496571
          97   -0.370964  0.00491881
          98   -0.372953  0.00487197
          99   -0.427003  0.00483663
         100   -0.415043  0.00479426
         101   -0.409119  0.00475007
         102   -0.397011  0.00470382
         103   -0.350424  0.00467497
         104   -0.392716  0.00463005
         105   -0.358543  0.00459629
         106   -0.387227  0.00455305
         107   -0.422471  0.00452016
         108   -0.436281  0.00449771
         109   -0.436361  0.00447531
         110   -0.431524  0.00444914
         111   -0.435626  0.00442624
         112   -0.526764  0.00454596
         113   -0.455676  0.00453861
         114   -0.357875  0.00451005
         115   -0.397902  0.00447096
         116   -0.372604  0.00443623
         117   -0.399744   0.0043986
         118   -0.389257   0.0043615
         119   -0.354227  0.00433755
         120   -0.434469   0.0043148
         121   -0.376372  0.00428156
         122   -0.419629  0.00425173
         123   -0.479005  0.00427303
         124   -0.458288  0.00426929
         125   -0.464223  0.00427075
         126   -0.373515  0.00424048
         127   -0.379933  0.00420887
         128   -0.342028  0.00419659
         129   -0.308383  0.00421742
         130   -0.332165  0.00421199
         131   -0.347762   0.0041945
         132   -0.424143  0.00416914
         133   -0.497345  0.00420997
         134   -0.436425  0.00419017
         135   -0.429835  0.00416715
         136   -0.427424   0.0041433
         137   -0.412633  0.00411498
         138   -0.387051  0.00408561
         139   -0.396594  0.00405623
         140   -0.400312  0.00402741
         141   -0.396459  0.00399885
         142   -0.435473  0.00398063
         143   -0.415853  0.00395528
         144   -0.387327  0.00392826
         145   -0.364849  0.00390696
         146   -0.394732   0.0038802
         147   -0.349103  0.00386666
         148   -0.401353  0.00384075
         149   -0.380414  0.00381627
         150   -0.367208  0.00379539
         151   -0.360695  0.00377705
         152   -0.359908  0.00375916
         153   -0.412445  0.00373641
         154   -0.381913  0.00371307
         155   -0.386896  0.00368944
         156   -0.372154  0.00366858
         157   -0.354573  0.00365397
         158   -0.322868  0.00365858
         159   -0.377282  0.00363703
         160   -0.332788  0.00363409
         161   -0.306018  0.00365164
         162   -0.336347  0.00364561
         163   -0.352212  0.00363154
         164   -0.370228  0.00361184
         165   -0.404981  0.00359081
         166   -0.395444  0.00356924
         167   -0.401546  0.00354832
         168   -0.388003  0.00352728
         169   -0.424831  0.00351174
         170   -0.439891  0.00350224
         171   -0.374126  0.00348341
         172   -0.354571  0.00347011
         173   -0.407972  0.00345124
         174   -0.403001  0.00343196
         175   -0.336297  0.00342727
         176   -0.336175  0.00342247
         177   -0.438177  0.00341318
         178   -0.398376  0.00339419
         179   -0.354349  0.00338175
         180   -0.368197  0.00336551
         181    -0.39638  0.00334701
         182   -0.431965  0.00333592
         183   -0.386672  0.00331782
         184   -0.421853  0.00330377
         185   -0.383213  0.00328626
         186   -0.386106  0.00326875
         187   -0.439403  0.00326109
