0             12             16
1              8             15
2             25             23
3             27             25
4              5             45
5              1             58
6             16             57
7             27             54
8             12             68
9              6             75
10             22             99
11             37             83
12             57             84
13             65             90
14             76             97
15             91             93
16             93             75
17             98             39
18             61             58
19             49             75
20             47             57
21             47             58
22             47             49
23             68             36
24             72             33
25             65             21
26             71             11
27             70              8
28             81              1
29             77              2
30             67              9
31             50              2
32             23             19
33             13              5
