0              0
1             15
2             22
3             21
4             16
5              2
6             17
7             31
8             24
9             14
10             25
11             33
12             32
13             27
14             30
15              8
16             23
17             11
18             10
19             20
20             26
21              7
22              6
23              5
24             18
25             28
26              4
27             12
28              1
29              9
30             19
31              3
32             13
33             29
