           1    -7.27533    -7.27533           0
           2    -7.27453    -7.27493  0.00028194
           3    -7.27495    -7.27494 0.000188017
           4    -7.27741    -7.27555 0.000553095
           5    -7.27536    -7.27552 0.000443831
           6    -7.27556    -7.27552 0.000369927
           7    -7.27419    -7.27533 0.000362854
           8    -7.27609    -7.27543 0.000329484
           9    -7.27589    -7.27548 0.000296869
          10    -7.27631    -7.27556 0.000278666
          11    -7.27655    -7.27565 0.000267502
          12    -7.27346    -7.27547 0.000301104
          13     -7.2748    -7.27542 0.000282317
          14    -7.27551    -7.27542 0.000262231
          15    -7.27695    -7.27553 0.000263659
          16    -7.27622    -7.27557 0.000250762
          17    -7.27504    -7.27554 0.000237905
          18    -7.27401    -7.27545 0.000239439
          19    -7.27481    -7.27542 0.000229225
          20    -7.27278    -7.27529 0.000252905
