10           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 9.72615e-05  0.00137558   0.0241647    0.161364    0.550637      1.1802     1.82548     2.30979     2.55855     2.56037     2.43709     2.21094     2.01151     1.77582     1.58507     1.41857     1.26323     1.13749     1.03501    0.950161    0.864386    0.809198    0.772151    0.728836    0.711266    0.691464    0.668618    0.662355    0.654901    0.661945    0.671337    0.691574    0.714903    0.735687    0.764086    0.805741    0.837704     0.88296    0.927584    0.974712     1.02092     1.05887     1.10767     1.13915     1.18302     1.19562     1.22139     1.23241     1.22942     1.21856     1.20163     1.17993     1.15821     1.12935     1.10205      1.0688     1.04228     1.01684    0.986226    0.960437     0.93966     0.91571    0.907495    0.903115    0.887027    0.877208    0.879622
20           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 9.72615e-05  0.00275116   0.0497585    0.319368     1.10927     2.38083     3.68647     4.64078      5.1273     5.10581     4.83359     4.41218     3.99653     3.52996     3.14886     2.79826     2.50606     2.25169     2.06281     1.88236     1.73661     1.63174     1.54072     1.46354     1.42778     1.38264     1.34559     1.33175     1.33123     1.34119     1.36767     1.39862     1.44363     1.49518     1.55359     1.62559     1.69029     1.77645     1.84917     1.94048     2.04152     2.10756     2.19932     2.26249     2.34082     2.37683     2.41972     2.44702      2.4464     2.43064      2.3975     2.35023     2.30905      2.2514     2.19325     2.13714     2.07966     2.02485     1.97274       1.934     1.89558     1.84973     1.82579     1.81076     1.77694     1.76267     1.76476
30           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 9.72615e-05  0.00371406   0.0715414    0.483108     1.67004     3.57473     5.54679     6.99472      7.6668     7.63829     7.23985     6.59931     5.96691     5.27082     4.71703     4.18328     3.75969     3.37444     3.10478     2.83864     2.61436     2.46139     2.32808     2.20827     2.13008     2.07552     2.02591     1.99935     2.01245     2.01624     2.05279     2.10024     2.16644     2.24391      2.3371     2.43436     2.54242     2.66526     2.77602     2.90821      3.0445     3.16266     3.28646     3.38452     3.49372     3.56369     3.61979     3.66798      3.6622     3.63517     3.59486     3.52034     3.46621     3.38541     3.29012     3.21042       3.129     3.04499     2.97003     2.91409     2.85189     2.78251     2.74675     2.71874     2.67552     2.64796     2.65074
40           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 9.72615e-05  0.00449356   0.0953596    0.646397     2.23301     4.77146     7.40424      9.3136     10.2066     10.1815     9.67036     8.80906     7.93393     7.02195      6.2784     5.58014     5.00639     4.51041     4.13228     3.79043     3.49118     3.27944     3.08871     2.94401     2.83901     2.76067     2.69809     2.67076     2.67859     2.69253     2.74737      2.8005     2.88561     2.99582     3.12666     3.24661     3.40079     3.56389      3.7191     3.89822     4.06587     4.22417     4.37773     4.50777      4.6547     4.74313     4.81563     4.87576     4.86262     4.83435     4.78284     4.69377     4.61988     4.51229     4.38453     4.28168     4.17701     4.06197     3.96721     3.87858     3.80042     3.71626     3.66662     3.62771     3.57191     3.53279     3.53395
50           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 9.72615e-05  0.00596084    0.123768    0.814766     2.80325     5.97699     9.26292     11.6642     12.7894     12.7379     12.0825     10.9964      9.9124     8.75438     7.83631     6.96268     6.24454     5.62138     5.15411     4.72681     4.35421     4.09685     3.85712     3.67904     3.55166     3.44455     3.37292     3.33957      3.3543      3.3675     3.43963     3.50758     3.61526      3.7468     3.91938     4.06513     4.26195     4.46765     4.66397      4.8825     5.08582     5.28402     5.46538     5.63015     5.81637      5.9289     6.01824     6.08899     6.07203     6.03545     5.97657     5.86562     5.76573      5.6231     5.47452     5.33613     5.20458      5.0757     4.96418     4.84185     4.74625     4.64876     4.59794     4.54101     4.46946     4.42264     4.42402
60           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 9.72615e-05   0.0078408    0.145854      0.9783     3.36149     7.18297     11.1377     14.0102     15.3715     15.2879     14.4947     13.1685     11.8789     10.4931     9.39804     8.35049     7.49607     6.75735     6.18122      5.6554       5.242     4.92149     4.62977      4.4156     4.25731     4.13808     4.04995     4.00836     4.02681     4.04471     4.12009     4.20618     4.33808     4.49021     4.68925     4.88218     5.12097     5.36411     5.60613     5.86354     6.10844     6.35244     6.55954     6.76359     6.97997     7.11286     7.21961     7.29638      7.2822     7.24307     7.15868     7.04414     6.91311     6.75283     6.56844     6.40507     6.23815     6.08963     5.94945     5.80952     5.68958      5.5747     5.51882     5.44906     5.36793     5.30435     5.30899
70           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000145892   0.0096749    0.168157     1.14192     3.93445     8.38854      12.994     16.3275     17.9101     17.8213     16.8825     15.3876     13.8786     12.2495     10.9514     9.72445      8.7336     7.87598     7.19833     6.59654     6.11994     5.74502     5.40302     5.15759     4.97619     4.84695     4.73915     4.68834     4.69248     4.72868     4.80455     4.91601     5.07066     5.24527     5.47135     5.69627     5.97212      6.2455     6.53433     6.83002      7.1171     7.40529     7.65294     7.88297     8.13278     8.29968     8.42308     8.51624     8.49891     8.45965     8.35856     8.21652     8.06439     7.87413      7.6616     7.46874     7.27225     7.09208     6.93528     6.77428     6.63348     6.51271     6.44762     6.36867     6.27696     6.19515     6.20107
80           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000194523   0.0108212    0.191975     1.29923     4.48695     9.56126      14.832     18.6561      20.462       20.39     19.2938     17.6196     15.8895     14.0257     12.5416     11.1335     9.99505      9.0136     8.23583     7.54315     6.97941     6.55558     6.16677     5.87753     5.66966     5.51769     5.39397     5.33701     5.35152     5.38805     5.47573     5.60919     5.78438     5.99133     6.25346     6.51286     6.83211     7.14519     7.47532     7.81587     8.15105     8.47607     8.75662     9.02252     9.29976     9.48779     9.62163     9.72519     9.71407     9.66294     9.56623     9.39763      9.2187     8.99901     8.75641     8.54561      8.3141     8.10058      7.9227     7.73401     7.58284     7.44383     7.36568     7.27083     7.16402     7.08432     7.08177
90           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000194523   0.0122426    0.214148     1.45887     5.03731     10.7365     16.6754     20.9795     23.0256     22.9523     21.7487     19.8161     17.8749     15.8024     14.1027     12.5316     11.2486      10.128      9.2605      8.4625     7.85758     7.35763     6.93136     6.60631     6.37563     6.20106     6.06387     5.99675     6.01814     6.05858     6.16599     6.31275     6.50675      6.7438     7.04574     7.33312     7.70271     8.04222     8.40999     8.79614     9.17665     9.53191     9.84004     10.1487     10.4601     10.6717     10.8257     10.9515     10.9451     10.8815     10.7773     10.5751     10.3738      10.121     9.85117     9.60774      9.3509     9.10502     8.90333     8.69165     8.52499     8.36092      8.2756     8.17373     8.04728     7.96821     7.95947
100           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0 0.000194523    0.013068    0.241041     1.63023     5.60658     11.9556     18.5392     23.3451     25.5792     25.5195     24.1486     21.9931     19.8457     17.5671     15.6661     13.9123     12.4881     11.2475     10.2793     9.39847     8.70755       8.171     7.69493     7.32847      7.0789      6.8862     6.74052     6.66306     6.68907     6.73834     6.85522     7.02094     7.23592      7.4976     7.83097      8.1486     8.56212     8.93698     9.34931     9.77588     10.2001     10.5881     10.9472     11.2844     11.6244      11.848     12.0422     12.1682     12.1689     12.0969     11.9838     11.7606     11.5338     11.2472      10.943      10.667     10.3789      10.103      9.8752     9.64572     9.46774      9.2769     9.17833     9.06661     8.93058     8.84238     8.83783
