10           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0  0.00440185   0.0403611    0.148541    0.615217     1.23274     1.91115     2.48055     2.60538     2.54816     2.36348      2.1093     1.81192     1.74144     1.44852     1.34078     1.21102     1.11688     1.07924    0.958478    0.905288    0.882588    0.766162    0.741368    0.760608    0.743088    0.724796    0.671778    0.646445    0.618184    0.654092     0.67671    0.748233    0.735502    0.773454    0.785769     0.80732    0.886177    0.956239     0.99685     1.01756     1.06888     1.10996     1.16243     1.16369     1.18094     1.22917     1.21004     1.22993     1.21313     1.21726     1.16404     1.15819     1.13561     1.09737     1.07091     1.02189     1.00641    0.975384     0.91435    0.913363    0.948628    0.988374    0.921671    0.872111    0.879729    0.883801
20           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0  0.00440185    0.071628    0.315026     1.20435     2.43978     3.83496     4.77843     5.13883     5.01063     4.57346     4.29637     3.83543     3.53155     3.06976     2.91478     2.52053     2.23581     1.97607     1.83007     1.74487     1.65533     1.53342     1.49963     1.53422     1.47852     1.44753     1.33354     1.35006     1.32137     1.37134     1.40012      1.4724     1.57403     1.62983     1.60094      1.6155     1.71271     1.84133      1.9098     1.90264     2.07767     2.14151     2.23871     2.31238     2.40562     2.39963     2.44745     2.46917     2.47718     2.37842     2.33134     2.34005     2.31917     2.19853     2.16436     2.09954     2.01633     1.94836     1.91609      1.8827     1.86826     1.88516     1.80325     1.77581     1.79459      1.7832
30           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0  0.00871199   0.0892102    0.474464      1.8049     3.65691     5.84181     7.14831     7.73053     7.61596     6.81655     6.28693     5.78274     5.30479     4.72994     4.37626     3.76688     3.34854     3.00641      2.7346     2.57926     2.38699     2.33258     2.24828     2.19777     2.12755     2.15974     2.03081     2.07128     2.00766     2.09192     2.17182     2.30182     2.31477     2.39638     2.38862     2.44512     2.61476     2.78788     2.90127     2.89215     3.09938     3.29304     3.35871     3.41993     3.57444     3.61963     3.67866     3.70613     3.66798     3.52102     3.45984     3.51036     3.42757      3.2805     3.20165     3.10496     2.96635     2.85374     2.89673     2.82849     2.78984     2.80313     2.72736     2.70522     2.70972     2.68806
40           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0  0.00990416    0.113028    0.673065     2.33862     4.89776     7.81543     9.54202     10.3398     10.0384     9.16804     8.43382     7.66052     6.95011      6.2985     5.83593     5.00191     4.46191     3.98037     3.76136     3.44442     3.25572     3.16136     2.96448     2.96168     2.83906     2.88623     2.74044      2.7429     2.64401     2.75825     2.88686     3.04792     3.08372     3.15994     3.16106      3.2851     3.49745      3.6791     3.81489     3.84844     4.08272     4.37261     4.54981     4.63291     4.88004     4.82804     4.89484     4.88762     4.84786     4.75157     4.63718     4.69124     4.54339     4.34842     4.24481     4.11959     3.95369     3.83156     3.87211     3.80721     3.70253     3.72984     3.62367      3.6043      3.6274     3.57471
50           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0  0.00990416    0.141177    0.849873     2.92263     6.10332     9.77058     11.9046     12.9101     12.4892     11.4628     10.5109     9.51193     8.64753     7.87126     7.28923     6.36609     5.57044      5.0017      4.7434     4.35375     4.08215     4.00605     3.73977     3.70132      3.5477     3.56432     3.40225     3.43407     3.29234     3.42899     3.63688     3.82449      3.8715     3.97388     3.93112     4.06469     4.32033     4.50833     4.65756      4.8211     5.15119     5.42136     5.66129     5.78876     6.11756      6.0782     6.17479     6.12649     6.07419     6.00438     5.81044     5.83685     5.67334        5.44     5.34998      5.2008     4.98885     4.81349     4.83882     4.76772     4.65814     4.65496     4.53881     4.49385     4.48996     4.45979
60           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0  0.00990416    0.166728     1.06019     3.56579     7.28481     11.5723     14.3141     15.4792     15.0643     14.0143     12.7959     11.5482     10.3278     9.38868     8.54537     7.51817     6.63784     5.92438     5.59891     5.11347     4.80459     4.70555     4.51755      4.4711      4.2904     4.25788     4.11897     4.18823     3.98287     4.12537     4.33311     4.59272     4.64704     4.78009     4.77894     4.95343     5.22895     5.49348       5.699     5.87111     6.22301      6.4817     6.79537     6.93213     7.30768     7.27475     7.40712     7.24599     7.19508     7.18645     6.99663     6.96424     6.77394     6.47753     6.38903     6.25378     6.01434     5.82429     5.75817     5.71308     5.60995     5.55538     5.42985     5.40247     5.41285     5.31698
70           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0117383    0.196782     1.24003      4.1526     8.48839     13.4204     16.6881      17.952     17.8349     16.4183     14.9825     13.5611     12.0915     10.7772     9.85937     8.68678     7.84422     7.06025     6.59806     6.01457     5.65399     5.44003      5.2209     5.13385     4.87535     4.86094      4.7875     4.88396     4.70484     4.82077      5.0459     5.33381     5.36482     5.49949     5.50841     5.79461     6.12613     6.39051     6.63911     6.89636     7.28778     7.63974     8.03176       8.186     8.52622     8.53762     8.71999     8.50503     8.39921     8.38696     8.15535     8.07365      7.8202      7.5587     7.44815     7.29406     7.07152     6.77859     6.66108     6.64202     6.51285     6.47506     6.28461     6.28207     6.32186     6.15532
80           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0117383    0.222679     1.41889     4.70238     9.57584     15.2828     19.0904     20.5325     20.4266     18.8548     17.1303     15.5511     13.8842     12.3166      11.269      9.8961     9.02342     8.13694     7.57563     6.88229     6.42133     6.19174     5.97587      5.8216     5.50667     5.51449     5.42182     5.52386      5.4096     5.50792     5.72662     6.02869     6.09153     6.31494     6.33533     6.68068     7.02483     7.28462     7.55539     7.87332     8.33919     8.71756     9.19026     9.38915     9.71553      9.8354     9.99081     9.76553      9.6444     9.59162     9.33254     9.24347     8.92389     8.61894     8.49009      8.3182     8.06682     7.79273     7.65742     7.58555      7.4122     7.33331     7.15262     7.17684     7.21587     7.04934
90           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0131138    0.254725     1.57923     5.28127     10.8254     17.1162     21.4207     23.2534     23.0686     21.2451     19.2032     17.5058     15.5792     13.7536     12.5429     11.1531     10.1982     9.15868     8.46048     7.76145     7.30035      7.0006      6.7699     6.56857     6.22399     6.13858     6.03718     6.20672     6.11086     6.18025     6.40276     6.74273     6.84313     7.07453     7.19063     7.62549     7.95243     8.24032     8.59543     8.94891     9.39056     9.85728     10.3721     10.5871      10.886      10.961     11.1525     10.9355     10.7813      10.708     10.4448     10.3817     10.0328     9.72372      9.5706     9.32468     9.06842     8.73709     8.63322     8.53134     8.34372     8.25161     8.07636     8.08841     8.14651     7.98627
100           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0   0.0138475     0.27889     1.75505     5.82368     12.0433     18.9464     23.7052     25.9335     25.7517     23.7416     21.5402     19.5787     17.3217     15.1655     13.7393     12.3144     11.3118     10.0999     9.38565     8.63352     8.06806     7.77403     7.46685     7.23122     6.89684     6.84562     6.73296     6.87865     6.82188     6.90646     7.17222     7.46394     7.56572     7.81727     8.06234     8.55252     8.90445     9.25946     9.61878     9.99615     10.4494     10.9505     11.4841     11.7502     12.0676     12.1569     12.3631     12.1423       12.01      11.851      11.562     11.4933     11.1012     10.7646     10.6188     10.3102     9.98707     9.67449     9.58441     9.51985     9.32355       9.217     8.94805     8.99794     9.04439     8.88754
