                           120                         -0.44                     -0.145954                          -nan
                           121                         -0.36                     -0.146674                          -nan
                           122                       -0.5216                     -0.147717                          -nan
                           123                       -0.5992                     -0.148915                          -nan
                           124                       -0.3608                     -0.149637                          -nan
                           125                         -0.44                     -0.150517                          -nan
                           126                       -0.4424                     -0.151402                          -nan
                           127                       -0.5232                     -0.152448                          -nan
                           128                       -0.2808                      -0.15301                          -nan
                           129                       -0.4416                     -0.153893                          -nan
                           130                       -0.3616                     -0.154616                          -nan
                           131                       -0.4432                     -0.155502                          -nan
                           132                       -0.5288                      -0.15656                          -nan
                           133                        -0.448                     -0.157456                          -nan
                           134                       -0.6048                     -0.158666                          -nan
                           135                        -0.604                     -0.159874                          -nan
                           136                       -0.5208                     -0.160915                          -nan
                           137                       -0.4416                     -0.161798                          -nan
                           138                       -0.6056                      -0.16301                          -nan
                           139                       -0.5232                     -0.164056                          -nan
                           140                       -0.3624                     -0.164781                          -nan
                           141                       -0.2816                     -0.165344                          -nan
                           142                       -0.2816                     -0.165907                          -nan
                           143                        -0.444                     -0.166795                          -nan
                           144                       -0.5232                     -0.167842                          -nan
                           145                       -0.6032                     -0.169048                          -nan
                           146                       -0.5232                     -0.170094                          -nan
                           147                       -0.2824                     -0.170659                          -nan
                           148                       -0.3616                     -0.171382                          -nan
                           149                        -0.604                      -0.17259                          -nan
                           150                       -0.3688                     -0.173328                          -nan
                           151                       -0.5296                     -0.174387                          -nan
                           152                       -0.3632                     -0.175114                          -nan
                           153                       -0.4368                     -0.175987                          -nan
                           154                       -0.5152                     -0.177018                          -nan
                           155                         -0.52                     -0.178058                          -nan
                           156                       -0.4392                     -0.178936                          -nan
                           157                       -0.3608                     -0.179658                          -nan
                           158                       -0.4368                     -0.180531                          -nan
                           159                       -0.4392                      -0.18141                          -nan
                           160                       -0.5208                     -0.182451                          -nan
                           161                       -0.3616                     -0.183174                          -nan
                           162                         -0.52                     -0.184214                          -nan
                           163                       -0.5168                     -0.185248                          -nan
